Filename,Timestamp,GT_Lat,GT_Lon,Pred_Lat,Pred_Lon,ClassName,Confidence,Distance_km
2018_08_07_3DIMG_07AUG2018_1700_L1C_SGP_V01R00_B3_event7_D_BOB.png,"7-AUG-2018, 1700 UTC",15.15934181,86.12218475,14.91484165,86.01437378,D,0.85,29.5496
2013_10_09_3DIMG_09OCT2013_0630_L1C_SGP_V01R00_B3_event5_DD_BOB.png,"9-OCT-2013, 0630 UTC",23.50886154,92.91407776,23.6082592,92.80627441,DD,0.88,15.5851
2018_10_08_3DIMG_08OCT2018_1000_L1C_SGP_V01R00_B3_event11_CS_AS.png,"8-OCT-2018, 1000 UTC",24.10409355,61.29042816,24.30188751,61.25449371,CS,0.91,22.2936
2019_01_05_3DIMG_05JAN2019_1700_L1C_SGP_V01R00_B3_event1_CS_BOB.png,"5-JAN-2019, 1700 UTC",26.1327095,96.61548615,26.29480743,96.43580627,CS,0.92,25.42
2017_12_03_3DIMG_03DEC2017_1600_L1C_SGP_V01R00_B3_event9_VSCS_AS.png,"3-DEC-2017, 1600 UTC",23.4093895,68.54949188,23.4093895,68.40574646,VSCS,0.92,14.6681
2021_11_11_3DIMG_11NOV2021_0700_L1C_SGP_V01R00_B3_event8_D_BOB.png,"11-NOV-2021, 0700 UTC",23.9059906,80.69585419,23.6082592,80.51617432,D,0.91,37.8208
2015_06_10_3DIMG_10JUN2015_1100_L1C_SGP_V01R00_B3_event1_CS_AS.png,"10-JUN-2015, 1100 UTC",15.54297733,61.11074829,15.4384203,61.182621,CS,0.93,13.9457
2014_05_22_3DIMG_22MAY2014_0100_L1C_SGP_V01R00_B3_event2_D_BOB.png,"22-MAY-2014, 0100 UTC",20.25555992,91.97974396,20.05191422,92.01567841,D,0.92,22.953
2023_06_11_3DIMG_11JUN2023_1400_L1C_SGP_V01R00_B3_event3_ESCS_AS.png,"11-JUN-2023, 1400 UTC",18.13862228,67.68702698,18.20733452,67.65109253,CS,0.79,8.5317
2016_08_12_3DIMG_12AUG2016_1530_L1C_SGP_V01R00_B3_event4_D_BOB.png,"12-AUG-2016, 1530 UTC",12.24303246,84.18164063,12.31372261,84.18164063,D,0.89,7.8604
2022_12_22_3DIMG_22DEC2022_0530_L1C_SGP_V01R00_B3_event15_D_BOB.png,"22-DEC-2022, 0530 UTC",26.90868378,84.82849121,26.71518898,84.72068024,D,0.91,24.0291
2018_11_10_3DIMG_10NOV2018_2200_L1C_SGP_V01R00_B3_event13_CS_BOB.png,"10-NOV-2018, 2200 UTC",23.14376259,88.96112061,23.07727051,88.92518616,CS,0.91,8.2566
2021_09_27_3DIMG_27SEP2021_1200_L1C_SGP_V01R00_B3_event5_D_BOB.png,"27-SEP-2021, 1200 UTC",18.20733452,80.0490036,18.10425568,80.26461792,D,0.89,25.5024
2018_09_06_3DIMG_06SEP2018_1500_L1C_SGP_V01R00_B3_event9_DD_BOB.png,"6-SEP-2018, 1500 UTC",14.91484165,86.40966797,14.7050457,86.12218475,DD,0.92,38.7209
2019_12_09_3DIMG_09DEC2019_2330_L1C_SGP_V01R00_B3_event12_D_AS.png,"9-DEC-2019, 2330 UTC",25.84035873,55.79222488,25.48204994,55.57661057,D,0.91,45.3256
2013_11_14_3DIMG_14NOV2013_0530_L1C_SGP_V01R00_B3_event7_D_BOB.png,"14-NOV-2013, 0530 UTC",24.99170303,85.00816345,25.02445412,85.08003998,D,0.92,8.107
2023_08_01_3DIMG_01AUG2023_2100_L1C_SGP_V01R00_B3_event4_DD_BOB.png,"1-AUG-2023, 2100 UTC",13.68819904,88.20646667,13.44207191,87.05651855,DD,0.49,127.2784
2019_06_15_3DIMG_15JUN2019_0530_L1C_SGP_V01R00_B3_event3_VSCS_AS.png,"15-JUN-2019, 0530 UTC",16.06495094,66.93237305,16.13444328,66.86050415,VSCS,0.93,10.8932
2021_12_02_3DIMG_02DEC2021_1800_L1C_SGP_V01R00_B3_event10_D_BOB.png,"2-DEC-2021, 1800 UTC",24.56512833,87.48774719,24.23599052,87.55962372,D,0.92,37.3152
2022_12_17_3DIMG_17DEC2022_0100_L1C_SGP_V01R00_B3_event14_D_AS.png,"17-DEC-2022, 0100 UTC",22.61090851,62.08102036,22.41054726,62.04508209,D,0.92,22.5829
2014_01_05_3DIMG_05JAN2014_2130_L1C_SGP_V01R00_B3_event1_D_BOB.png,"5-JAN-2014, 2130 UTC",27.00530815,81.3067627,26.74746132,80.94740295,D,0.92,45.7432
2021_10_02_3DIMG_02OCT2021_0630_L1C_SGP_V01R00_B3_event6_SCS_AS.png,"2-OCT-2021, 0630 UTC",12.45504475,61.72166061,12.24303246,61.54198074,SCS,0.94,30.6054
2023_02_01_3DIMG_01FEB2023_0230_L1C_SGP_V01R00_B3_event1_D_BOB.png,"1-FEB-2023, 0230 UTC",28.03069115,82.49265289,27.26255798,82.38484192,D,0.88,86.0701
2018_11_11_3DIMG_11NOV2018_2300_L1C_SGP_V01R00_B3_event13_CS_BOB.png,"11-NOV-2018, 2300 UTC",23.24343491,87.092453,23.07727051,87.12838745,CS,0.92,18.8383
