image_name,serial_number_of_system_during_year,basin_of_origin,name,date-dd-mm-yyyy,time-utc,predicted_lat,predicted_long,predicted_class,gt_class,lat_error,long_error,distance_from_closest_gt
2013_10_08_3DIMG_08OCT2013_0330_L1C_SGP_V01R00_B3_event5_D_BOB.png,5,BOB,PHAILIN,08-10-2013,0330,11.818494,95.89677,D,D,0.14158821,0.0,15.74389074
2013_10_08_3DIMG_08OCT2013_0500_L1C_SGP_V01R00_B3_event5_D_BOB.png,5,BOB,PHAILIN,08-10-2013,0500,12.030848,95.788956,D,D,0.070765495,0.107803345,14.12102039
2013_10_08_3DIMG_08OCT2013_0530_L1C_SGP_V01R00_B3_event5_D_BOB.png,5,BOB,PHAILIN,08-10-2013,0530,12.136962,95.75302,D,D,0.17687988,0.17967987,27.72403996
2013_10_08_3DIMG_08OCT2013_0600_L1C_SGP_V01R00_B3_event5_D_BOB.png,5,BOB,PHAILIN,08-10-2013,0600,12.384394,95.53741,D,D,0.42431164,0.071876526,47.8237595
2013_10_08_3DIMG_08OCT2013_0630_L1C_SGP_V01R00_B3_event5_D_BOB.png,5,BOB,PHAILIN,08-10-2013,0630,12.34906,95.46553,D,D,0.388978,0.03593445,43.42840576
2013_10_08_3DIMG_08OCT2013_0700_L1C_SGP_V01R00_B3_event5_D_BOB.png,5,BOB,PHAILIN,08-10-2013,0700,12.34906,95.429596,D,D,0.388978,0.107803345,44.81172135
2013_10_08_3DIMG_08OCT2013_0730_L1C_SGP_V01R00_B3_event5_D_BOB.png,5,BOB,PHAILIN,08-10-2013,0730,12.419722,95.32179,D,D,0.45963955,0.071876526,51.70317558
2013_10_08_3DIMG_08OCT2013_0800_L1C_SGP_V01R00_B3_event5_D_BOB.png,5,BOB,PHAILIN,08-10-2013,0800,12.34906,94.89056,D,D,0.388978,0.2515564,51.17128837
2013_10_08_3DIMG_08OCT2013_0830_L1C_SGP_V01R00_B3_event5_D_BOB.png,5,BOB,PHAILIN,08-10-2013,0830,12.207681,94.81869,D,D,0.24759865,0.21561432,36.16095164
2013_10_08_3DIMG_08OCT2013_1130_L1C_SGP_V01R00_B3_event5_D_BOB.png,5,BOB,PHAILIN,08-10-2013,1130,12.313723,94.5312,D,D,0.35364056,0.0,39.32303572
2013_10_08_3DIMG_08OCT2013_1200_L1C_SGP_V01R00_B3_event5_D_BOB.png,5,BOB,PHAILIN,08-10-2013,1200,12.70217,94.38746,D,D,0.7420883,0.107803345,83.34328017
2013_10_08_3DIMG_08OCT2013_1230_L1C_SGP_V01R00_B3_event5_D_BOB.png,5,BOB,PHAILIN,08-10-2013,1230,12.737454,94.17184,D,D,0.70660686,0.2515564,83.18557718
2013_10_09_3DIMG_09OCT2013_0000_L1C_SGP_V01R00_B3_event5_DD_BOB.png,5,BOB,PHAILIN,09-10-2013,0000,13.125247,93.45312,DD,DD,0.14094543,0.0,15.67241726
2013_10_09_3DIMG_09OCT2013_0030_L1C_SGP_V01R00_B3_event5_DD_BOB.png,5,BOB,PHAILIN,09-10-2013,0030,13.16047,93.38125,DD,DD,0.17616844,0.0718689,21.07905489
2013_10_09_3DIMG_09OCT2013_0330_L1C_SGP_V01R00_B3_event5_DD_BOB.png,5,BOB,PHAILIN,09-10-2013,0330,12.984302,93.2375,DD,DD,0.0,0.17967987,19.46864728
2013_10_09_3DIMG_09OCT2013_0500_L1C_SGP_V01R00_B3_event5_DD_BOB.png,5,BOB,PHAILIN,09-10-2013,0500,13.16047,92.95002,DD,DD,0.17616844,0.17967987,27.61319762
2013_10_09_3DIMG_09OCT2013_0530_L1C_SGP_V01R00_B3_event5_DD_BOB.png,5,BOB,PHAILIN,09-10-2013,0530,13.16047,92.87814,DD,DD,0.17616844,0.21561432,30.48170945
2013_10_09_3DIMG_09OCT2013_0600_L1C_SGP_V01R00_B3_event5_DD_BOB.png,5,BOB,PHAILIN,09-10-2013,0600,13.125247,92.91408,DD,DD,0.14094543,0.071876526,17.49978232
2013_10_09_3DIMG_09OCT2013_0630_L1C_SGP_V01R00_B3_event5_DD_BOB.png,5,BOB,PHAILIN,09-10-2013,0630,13.266109,92.87814,DD,DD,0.1760912,0.03593445,19.96321474
2013_10_09_3DIMG_09OCT2013_0700_L1C_SGP_V01R00_B3_event5_DD_BOB.png,5,BOB,PHAILIN,09-10-2013,0700,13.51242,92.7344,DD,DD,0.3519497,0.071876526,39.90022246
2013_10_09_3DIMG_09OCT2013_0730_L1C_SGP_V01R00_B3_event5_DD_BOB.png,5,BOB,PHAILIN,09-10-2013,0730,13.40689,92.69846,DD,DD,0.14078045,0.0,15.65407169
2013_10_09_3DIMG_09OCT2013_0800_L1C_SGP_V01R00_B3_event5_DD_BOB.png,5,BOB,PHAILIN,09-10-2013,0800,13.547586,92.806274,DD,DD,0.246274,0.14374542,31.48993915
